Fault,Testing Accuracy,Training Accuracy,Testing AUC,Training AUC
VLVStuck_Cooling_50,0.6466,0.6486,0.4487,0.4506
Control_HeatingReverse,0.6546,0.6527,0.4577,0.4578
OADMPRStuck_100,0.6679,0.668,0.4804,0.4816
VLVLeak_Cooling_80,0.669,0.669,0.4836,0.483
SensorBias_RMTemp_+2C,0.6691,0.6715,0.4837,0.4866
Fouling_Cooling_Airside_Moderate,0.6731,0.6725,0.4882,0.4886
OADMPRStuck_0,0.6754,0.6775,0.495,0.4957
Fouling_Cooling_Airside_Minor,0.6764,0.6762,0.4941,0.4943
VLVStuck_Heating_0,0.6765,0.6741,0.4924,0.491
Fouling_Heating_Waterside_Minor,0.6775,0.6744,0.4935,0.4917
VLVLeak_Heating_20,0.6795,0.6787,0.4974,0.498
VLVStuck_Cooling_20,0.6806,0.6818,0.5,0.5028
VLVLeak_Heating_80,0.6816,0.6819,0.5018,0.5033
Fouling_Cooling_Waterside_Severe,0.6818,0.6796,0.4997,0.4995
Fouling_Cooling_Waterside_Moderate,0.6864,0.6883,0.5129,0.5124
VLVLeak_Cooling_20,0.687,0.6884,0.5132,0.5129
Fouling_Cooling_Airside_Severe,0.6878,0.6909,0.512,0.517
Fouling_Heating_Waterside_Moderate,0.7015,0.7039,0.5336,0.5373
Control_Unstable,0.7018,0.7051,0.5351,0.5392
FilterRestriction_20%,0.7159,0.7139,0.5538,0.5531
VLVStuck_Cooling_0,0.7735,0.7733,0.6466,0.6458
Fouling_Heating_Airside_Severe,0.7779,0.7761,0.6529,0.6502
VLVStuck_Heating_20,0.8021,0.8028,0.6925,0.6918
FanOutletBlockage,0.8065,0.8067,0.6973,0.6979
OADMPRStuck_80,0.816,0.8171,0.7129,0.7142
Fouling_Heating_Airside_Moderate,0.8377,0.8356,0.7471,0.7432
Fouling_Heating_Waterside_Severe,0.8388,0.8375,0.7478,0.746
Fouling_Cooling_Waterside_Minor,0.8441,0.8446,0.7548,0.7571
SensorBias_RMTemp_-4C,0.8453,0.8452,0.7586,0.7581
VLVLeak_Heating_50,0.8569,0.8568,0.7766,0.7763
VLVStuck_Heating_100,0.8847,0.8852,0.8209,0.8206
VLVStuck_Heating_50,0.8916,0.8922,0.8314,0.8316
VLVStuck_Heating_80,0.8938,0.8944,0.835,0.8352
SensorBias_RMTemp_-2C,0.9105,0.9117,0.8597,0.8621
OABlockage,0.9187,0.9186,0.8739,0.8729
Fouling_Heating_Airside_Minor,0.9247,0.9246,0.8845,0.8823
OADMPRStuck_50,0.9273,0.9264,0.8859,0.8849
VLVLeak_Cooling_50,0.9308,0.9306,0.8913,0.8917
FilterRestriction_50%,0.9352,0.9372,0.8993,0.9019
OADMPRStuck_30,0.9387,0.9376,0.9032,0.9022
VLVStuck_Cooling_80,0.9439,0.9428,0.912,0.9106
FilterRestriction_10%,0.9696,0.9688,0.9512,0.9509
VLVStuck_Cooling_100,0.9875,0.9878,0.9806,0.9809
